touchpoint_id,touchpoint_name,lifecycle_stage,ppim_brand_dimension,compatible_channels,tags,notes
search_ad_impression,Search Ad Impression,awareness,quality,google_ads_search;google_ads_pmax;bing_ads,industry:hospitality;sub_vertical:short_term_rental;intent:signaled;cost_event:cpm_or_cpc,Pre-click; brand-awareness substrate; impression-share matters
social_ad_impression,Social Ad Impression,awareness,quality,meta_ads_feed;meta_ads_reels;tiktok_ads;pinterest_ads,industry:hospitality;sub_vertical:short_term_rental;intent:passive;cost_event:cpm,Visual-first; carousel + video formats outperform static
content_view_organic,Content View — Organic,awareness,quality,seo_organic;seo_local;content_blog;content_video,industry:hospitality;sub_vertical:short_term_rental;intent:research;cost_event:opportunity_cost,Pixel-tracked but no direct cost; SEO compounding
ota_listing_view,OTA Listing View,consideration,quality,airbnb_listing;vrbo_listing;booking_com_listing;expedia_listing,industry:hospitality;sub_vertical:short_term_rental;intent:purchase;cost_event:none_until_book,No cost until booking; ranking + photos + reviews drive conversion
direct_site_visit,Direct Site Visit,consideration,quality,direct_website;seo_organic;seo_local,industry:hospitality;sub_vertical:short_term_rental;intent:high;cost_event:hosting,playadelcarmen.homes; zero OTA commission funnel
chatbot_engagement,Chatbot Engagement,consideration,responsiveness,chatbot_ai;chat_widget_site,industry:hospitality;sub_vertical:short_term_rental;intent:question;cost_event:per_llm_call,Gigaton AI concierge; routes to PPEME pricing
review_read,Review Read,consideration,quality,gmb_reviews;tripadvisor_reviews;airbnb_listing;trustpilot_reviews,industry:hospitality;sub_vertical:short_term_rental;intent:trust_validation;cost_event:none,Review density + recency + sentiment drive booking lift
price_quote,Price Quote Generated,consideration,personalization,direct_website;chatbot_ai;whatsapp_business;phone_voice,industry:hospitality;sub_vertical:short_term_rental;intent:purchase;cost_event:per_quote_compute,PPEME-driven dynamic pricing; per-segment + per-window
whatsapp_inquiry,WhatsApp Inquiry,consideration,responsiveness,whatsapp_business,industry:hospitality;sub_vertical:short_term_rental;country:mexico;intent:question;cost_event:per_session;language:spanish_likely,Critical for Mexico domestic; response time < 5min target
email_inquiry,Email Inquiry,consideration,responsiveness,email_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:question;cost_event:per_message,SendGrid; response time SLA < 1 hr biz-hours
phone_inquiry,Phone Inquiry,consideration,responsiveness,phone_voice,industry:hospitality;sub_vertical:short_term_rental;intent:high_purchase;cost_event:per_minute,Highest-intent inquiry; close-rate 3-5x chat
booking_completed,Booking Completed,booking,resolution,airbnb_listing;vrbo_listing;booking_com_listing;direct_website,industry:hospitality;sub_vertical:short_term_rental;intent:converted;cost_event:commission_or_processing,Revenue event; triggers OVS-Calibration outcome attribution
payment_captured,Payment Captured,booking,resolution,direct_website;airbnb_listing;vrbo_listing,industry:hospitality;sub_vertical:short_term_rental;intent:settled;cost_event:processing_fee,Stripe or OTA-collected; processing fee per 05_Economics
booking_confirmation_email,Booking Confirmation,booking,resolution,email_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:confirmation;cost_event:per_message;criticality:high,Auto-triggered; sets first impression for stay
booking_confirmation_sms,Booking Confirmation SMS,booking,resolution,sms_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:confirmation;cost_event:per_message;criticality:high,Twilio; backup to email
pre_arrival_email,Pre-Arrival Email Sequence,pre_arrival,personalization,email_transactional,industry:hospitality;sub_vertical:short_term_rental;intent:onboarding;cost_event:per_message,3-7 days before; check-in code + local tips
